date,tygiausd_grey_buy,tygiausd_grey_sell,tygiausd_sbv_central,tygiausd_vcb_buy,tygiausd_vcb_sell,tygiachoden_buy,tygiachoden_sell,chogia_buy,chogia_sell,vietnambiz_buy,vietnambiz_sell,binance_p2p_buy,binance_p2p_sell,coingecko_usdt_vnd,official_usd_vnd,grey_premium_pct,updated_at,source_notes
2025-03-25,,,,,,,,,,,,,,25645.43,,,2026-03-24T16:49:00.874167,
2025-03-26,,,,,,,,,,,,,,25625.63,,,2026-03-24T16:49:00.878534,
2025-03-27,,,,,,,,,,,,,,25622.05,,,2026-03-24T16:49:00.881547,
2025-03-28,,,,,,,,,,,,,,25568.95,,,2026-03-24T16:49:00.884864,
2025-03-29,,,,,,,,,,,,,,25563.08,,,2026-03-24T16:49:00.887559,
2025-03-30,,,,,,,,,,,,,,25567.07,,,2026-03-24T16:49:00.890311,
2025-03-31,,,,,,,,,,,,,,25570.06,,,2026-03-24T16:49:00.893285,
2025-04-01,,,,,,,,,,,,,,25570.33,,,2026-03-24T16:49:00.895946,
2025-04-02,,,,,,,,,,,,,,25634.01,,,2026-03-24T16:49:00.897903,
2025-04-03,,,,,,,,,,,,,,25625.2,,,2026-03-24T16:49:00.899920,
2025-04-04,,,,,,,,,,,,,,25795.41,,,2026-03-24T16:49:00.901880,
2025-04-05,,,,,,,,,,,,,,25797.34,,,2026-03-24T16:49:00.903812,
2025-04-06,,,,,,,,,,,,,,25796.26,,,2026-03-24T16:49:00.905759,
2025-04-07,,,,,,,,,,,,,,25783.76,,,2026-03-24T16:49:00.907768,
2025-04-08,,,,,,,,,,,,,,25795.87,,,2026-03-24T16:49:00.909783,
2025-04-09,,,,,,,,,,,,,,25989.77,,,2026-03-24T16:49:00.913129,
2025-04-10,,,,,,,,,,,,,,25984.76,,,2026-03-24T16:49:00.914921,
2025-04-11,,,,,,,,,,,,,,25751.49,,,2026-03-24T16:49:00.916755,
2025-04-12,,,,,,,,,,,,,,25744.57,,,2026-03-24T16:49:00.918612,
2025-04-13,,,,,,,,,,,,,,25753.97,,,2026-03-24T16:49:00.920445,
2025-04-14,,,,,,,,,,,,,,25749.26,,,2026-03-24T16:49:00.922291,
2025-04-15,,,,,,,,,,,,,,25828.06,,,2026-03-24T16:49:00.924251,
2025-04-16,,,,,,,,,,,,,,25820.28,,,2026-03-24T16:49:00.926151,
2025-04-17,,,,,,,,,,,,,,25843.21,,,2026-03-24T16:49:00.927952,
2025-04-18,,,,,,,,,,,,,,25886.78,,,2026-03-24T16:49:00.929780,
2025-04-19,,,,,,,,,,,,,,25882.63,,,2026-03-24T16:49:00.931615,
2025-04-20,,,,,,,,,,,,,,25884.25,,,2026-03-24T16:49:00.933404,
2025-04-21,,,,,,,,,,,,,,25886.0,,,2026-03-24T16:49:00.935233,
2025-04-22,,,,,,,,,,,,,,25881.25,,,2026-03-24T16:49:00.937105,
2025-04-23,,,,,,,,,,,,,,25977.32,,,2026-03-24T16:49:00.938943,
2025-04-24,,,,,,,,,,,,,,26011.06,,,2026-03-24T16:49:00.940830,
2025-04-25,,,,,,,,,,,,,,26040.38,,,2026-03-24T16:49:00.942878,
2025-04-26,,,,,,,,,,,,,,26037.24,,,2026-03-24T16:49:00.944764,
2025-04-27,,,,,,,,,,,,,,26029.79,,,2026-03-24T16:49:00.946590,
2025-04-28,,,,,,,,,,,,,,26030.02,,,2026-03-24T16:49:00.948685,
2025-04-29,,,,,,,,,,,,,,26003.42,,,2026-03-24T16:49:00.950504,
2025-04-30,,,,,,,,,,,,,,26012.06,,,2026-03-24T16:49:00.952368,
2025-05-01,,,,,,,,,,,,,,26007.22,,,2026-03-24T16:49:00.954239,
2025-05-02,,,,,,,,,,,,,,26012.55,,,2026-03-24T16:49:00.956129,
2025-05-03,,,,,,,,,,,,,,26014.67,,,2026-03-24T16:49:00.957964,
2025-05-04,,,,,,,,,,,,,,26010.96,,,2026-03-24T16:49:00.959821,
2025-05-05,,,,,,,,,,,,,,26003.21,,,2026-03-24T16:49:00.961641,
2025-05-06,,,,,,,,,,,,,,25951.7,,,2026-03-24T16:49:00.963429,
